category,hours,difficulty,risk,scope,trustScore,creditScore
TESISAT,12,2,4,1.06,49,100
ELEKTRIK,15,5,2,0.99,63,119
GOMULU,19,1,3,0.98,89,114
WEB_FRONTEND,19,2,2,1.17,61,115
KOMBI,14,2,4,1.06,51,106
DOGALGAZ,9,4,4,1.19,59,105
KOMBI,11,4,1,1.12,90,101
TESISAT,8,5,4,0.85,73,106
KLIMA,7,5,5,1.19,45,107
LOGO_TASARIM,14,4,1,0.99,40,104
TEMIZLIK,4,5,5,1.17,48,98
DOGALGAZ,19,4,1,1.0,45,120
TESISAT,13,3,3,0.91,69,105
LOGO_TASARIM,10,1,2,1.15,95,85
TESISAT,15,1,2,1.09,71,97
TESISAT,16,2,3,1.05,81,111
ELEKTRIK,15,1,4,0.86,82,104
WEB_FRONTEND,27,1,5,1.01,74,144
UI_UX,4,2,5,1.01,67,81
TESISAT,20,1,5,0.95,72,123
TESISAT,9,3,5,1.02,79,103
KLIMA,9,5,2,1.03,42,100
GOMULU,12,5,2,0.89,44,107
UI_UX,5,3,2,1.1,89,81
UI_UX,15,1,2,0.95,82,97
DOGALGAZ,18,2,2,0.87,91,112
UI_UX,6,4,1,1.0,48,81
DOGALGAZ,20,3,2,1.04,66,123
DOGALGAZ,12,4,3,1.17,85,112
TEMIZLIK,10,4,4,1.11,54,106
GOMULU,22,4,5,1.06,46,145
BACKEND,34,4,3,1.15,75,150
BACKEND,28,4,5,0.86,72,150
DOGALGAZ,11,5,3,1.06,58,111
TESISAT,16,1,5,0.94,94,113
GOMULU,29,1,1,1.02,67,134
TEMIZLIK,4,3,4,0.91,51,80
KOMBI,10,2,5,0.98,55,97
MOBIL_UYGULAMA,24,3,4,1.08,44,141
MOBIL_UYGULAMA,31,3,2,0.82,84,150
UI_UX,5,3,4,0.83,60,83
ELEKTRIK,16,5,2,0.88,44,119
TESISAT,6,3,2,0.86,80,81
WEB_FRONTEND,12,5,4,0.94,91,120
MOBIL_UYGULAMA,27,2,1,0.89,53,131
WEB_FRONTEND,23,4,3,1.12,82,144
KOMBI,12,4,1,0.93,94,103
TESISAT,6,4,5,1.1,55,98
WEB_FRONTEND,12,2,3,0.97,89,99
TESISAT,17,1,5,0.85,62,112
MOBIL_UYGULAMA,25,2,4,1.08,46,138
TEMIZLIK,3,5,5,0.93,57,94
UI_UX,10,1,4,0.94,55,87
DOGALGAZ,17,5,5,1.16,83,141
BACKEND,34,4,5,0.98,47,150
TEMIZLIK,2,1,3,0.84,60,58
LOGO_TASARIM,10,5,2,1.07,73,106
KOMBI,9,1,2,0.86,84,78
WEB_FRONTEND,19,3,4,0.92,44,125
MOBIL_UYGULAMA,18,4,1,1.02,41,116
LOGO_TASARIM,11,3,2,0.81,56,93
TEMIZLIK,2,1,3,1.17,53,61
MOBIL_UYGULAMA,19,2,2,0.99,86,116
TEMIZLIK,4,3,4,0.81,69,81
KLIMA,21,1,2,0.8,92,114
BACKEND,33,1,1,1.07,83,148
UI_UX,7,2,3,1.12,89,85
WEB_FRONTEND,24,5,5,1.19,82,150
TEMIZLIK,4,3,3,1.17,76,81
TESISAT,15,2,3,0.86,57,103
DOGALGAZ,20,1,4,1.05,49,117
WEB_FRONTEND,20,2,2,1.19,44,116
MOBIL_UYGULAMA,14,2,4,1.1,71,108
KOMBI,8,3,3,1.19,40,90
LOGO_TASARIM,13,1,3,0.9,53,91
MOBIL_UYGULAMA,30,3,5,1.18,48,150
KOMBI,13,4,4,0.83,94,117
LOGO_TASARIM,10,3,5,1.18,69,107
KLIMA,10,4,5,0.81,56,108
TESISAT,8,5,4,1.06,68,107
LOGO_TASARIM,9,4,5,1.03,52,106
WEB_FRONTEND,27,3,1,1.01,92,142
TESISAT,12,4,4,0.99,80,114
TESISAT,6,4,3,0.9,86,92
WEB_FRONTEND,15,5,3,0.99,61,123
KOMBI,12,5,2,1.02,53,110
LOGO_TASARIM,6,3,4,0.95,45,86
ELEKTRIK,15,5,5,1.0,51,130
MOBIL_UYGULAMA,28,2,1,0.97,89,139
KOMBI,17,4,2,1.11,56,120
KLIMA,20,3,3,0.87,78,126
BACKEND,24,4,4,0.9,88,150
ELEKTRIK,20,5,2,1.04,79,136
TEMIZLIK,5,1,2,1.18,49,66
MOBIL_UYGULAMA,18,1,1,1.12,91,104
WEB_FRONTEND,24,2,5,1.01,55,140
UI_UX,7,2,5,1.08,52,89
GOMULU,27,1,5,0.87,48,140
TESISAT,6,5,3,1.03,47,95
MOBIL_UYGULAMA,22,4,1,0.92,83,132
LOGO_TASARIM,10,4,1,0.96,88,96
KLIMA,22,2,3,1.14,79,129
GOMULU,22,4,3,1.06,42,137
GOMULU,29,3,5,0.82,70,150
ELEKTRIK,6,2,3,0.89,92,80
WEB_FRONTEND,11,2,2,0.96,81,91
WEB_FRONTEND,16,1,5,0.91,49,108
GOMULU,31,2,5,0.94,54,150
TEMIZLIK,4,3,2,1.07,42,73
LOGO_TASARIM,9,4,2,1.06,83,98
TEMIZLIK,6,3,5,0.96,84,94
ELEKTRIK,20,5,5,1.01,95,150
MOBIL_UYGULAMA,14,3,1,0.83,71,99
LOGO_TASARIM,3,5,2,0.93,69,83
UI_UX,10,5,2,1.09,69,106
BACKEND,23,1,2,1.15,72,122
TEMIZLIK,4,2,5,1.05,85,83
MOBIL_UYGULAMA,23,3,1,0.84,58,125
WEB_FRONTEND,12,4,3,0.93,62,108
MOBIL_UYGULAMA,23,3,3,0.92,56,134
GOMULU,21,1,5,0.85,79,125
DOGALGAZ,13,4,1,0.87,74,103
KOMBI,18,3,5,1.08,45,127
TESISAT,9,3,2,1.0,55,88
LOGO_TASARIM,5,4,4,1.13,73,94
GOMULU,30,3,5,0.87,46,150
DOGALGAZ,12,4,5,1.0,86,119
UI_UX,5,2,4,0.91,59,78
UI_UX,10,4,4,1.14,79,109
TESISAT,19,2,3,1.1,91,121
LOGO_TASARIM,10,3,1,1.05,67,89
WEB_FRONTEND,21,3,4,1.05,90,136
LOGO_TASARIM,4,1,4,1.08,86,73
LOGO_TASARIM,14,4,3,1.04,95,118
GOMULU,26,5,2,0.83,72,150
UI_UX,10,5,5,0.92,88,118
ELEKTRIK,13,2,1,1.04,50,90
LOGO_TASARIM,6,2,4,0.83,70,81
TEMIZLIK,3,3,4,1.09,74,81
MOBIL_UYGULAMA,16,5,1,0.86,95,120
GOMULU,18,3,1,0.9,89,114
DOGALGAZ,21,2,5,1.1,55,132
WEB_FRONTEND,14,3,5,1.17,48,116
WEB_FRONTEND,22,1,4,1.09,73,126
LOGO_TASARIM,14,1,2,0.86,54,90
KLIMA,14,1,4,0.85,56,98
TESISAT,6,1,1,0.81,55,62
ELEKTRIK,16,2,1,0.81,41,96
WEB_FRONTEND,14,3,2,0.86,85,105
TEMIZLIK,6,5,1,1.11,74,90
GOMULU,20,4,2,0.93,41,125
WEB_FRONTEND,19,1,4,0.91,57,114
GOMULU,27,3,3,0.81,54,144
TEMIZLIK,8,5,5,0.82,76,110
GOMULU,18,1,4,1.16,55,113
LOGO_TASARIM,12,3,2,1.1,75,100
DOGALGAZ,9,4,1,1.16,69,94
WEB_FRONTEND,19,2,2,1.09,77,116
ELEKTRIK,7,2,1,0.93,46,71
UI_UX,14,3,1,0.91,91,102
LOGO_TASARIM,10,4,2,0.95,41,96
MOBIL_UYGULAMA,19,4,4,0.85,60,132
WEB_FRONTEND,22,1,4,1.03,51,123
TEMIZLIK,4,2,2,0.93,54,67
UI_UX,4,1,3,1.04,53,66
ELEKTRIK,7,1,2,1.2,82,75
GOMULU,18,3,5,1.2,51,129
GOMULU,28,5,1,1.16,95,150
MOBIL_UYGULAMA,14,5,2,1.0,76,118
LOGO_TASARIM,10,3,5,0.88,77,104
BACKEND,31,2,3,1.19,41,150
KOMBI,17,5,5,1.07,47,136
TESISAT,5,5,2,0.98,45,87
KOMBI,10,3,2,1.09,49,92
TEMIZLIK,9,4,5,0.86,81,108
UI_UX,10,3,1,1.16,84,92
KLIMA,14,2,5,0.96,46,108
KOMBI,16,5,2,1.07,90,126
UI_UX,5,2,2,1.19,87,76
GOMULU,16,1,3,1.1,40,101
KOMBI,6,2,1,0.99,45,68
BACKEND,13,5,5,0.83,88,126
UI_UX,15,5,2,1.03,61,119
DOGALGAZ,21,1,4,0.96,40,119
KLIMA,10,5,5,0.91,52,114
TESISAT,19,3,1,1.03,41,113
LOGO_TASARIM,6,4,2,1.17,76,89
BACKEND,27,4,2,0.89,91,150
BACKEND,20,2,2,0.86,65,115
GOMULU,20,3,3,0.95,52,125
KOMBI,7,2,2,0.91,45,75
DOGALGAZ,20,4,3,0.86,45,129
WEB_FRONTEND,23,4,5,0.94,40,146
KLIMA,8,3,5,1.0,54,97
MOBIL_UYGULAMA,19,2,1,0.85,66,108
TEMIZLIK,5,5,3,1.18,59,95
BACKEND,31,3,5,1.12,94,150
KLIMA,15,5,3,0.94,61,122
TEMIZLIK,9,1,2,1.1,62,78
KLIMA,7,1,4,0.85,46,76
UI_UX,9,5,5,0.91,49,111
MOBIL_UYGULAMA,29,4,3,0.84,52,150
DOGALGAZ,13,4,1,0.98,80,105
ELEKTRIK,9,4,3,1.03,57,99
